label	A_tau	A_tau_err	gv_over_ga	 gv_over_ga_err sin2theta	sin2theta_err
Rho (RECO)	0.14297	0.00162541	0.0718539	0.000825378	0.232037	0.000206344
Pion (RECO)	0.153233	0.000599748	0.0770717	0.00030526	0.230732	7.63151e-05
Muon (RECO)	0.158491	0.00121399	0.0797497	0.000618676	0.230063	0.000154669
Electron (RECO)	0.158608	0.00120933	0.0798092	0.000616317	0.230048	0.000154079
All Channels (RECO)	0.153976	0.000470312	0.0774498	0.000239422	0.230638	5.98555e-05
Muon (Analytic)	0.102157	0.00120389	0.0512123	0.000606696	0.237197	0.000151674
Electron (Analytic)	0.0926506	0.00119599	0.0464251	0.000601872	0.238394	0.000150468
Rho (RECO)	0.14297	0.00162541	0.0718539	0.000825378	0.232037	0.000206344
Pion (RECO)	0.153233	0.000599748	0.0770717	0.00030526	0.230732	7.63151e-05
Muon (RECO)	0.158491	0.00121399	0.0797497	0.000618676	0.230063	0.000154669
Electron (RECO)	0.158608	0.00120933	0.0798092	0.000616317	0.230048	0.000154079
All Channels (RECO)	0.153976	0.000470312	0.0774498	0.000239422	0.230638	5.98555e-05
Muon (Analytic)	0.102157	0.00120389	0.0512123	0.000606696	0.237197	0.000151674
Electron (Analytic)	0.0926506	0.00119599	0.0464251	0.000601872	0.238394	0.000150468
Rho (RECO)	0.142351	0.00162647	0.0715398	0.000825809	0.232115	0.000206452
Pion (RECO)	0.153598	0.00059879	0.0772571	0.000304799	0.230686	7.61998e-05
Muon (RECO)	0.158906	0.00121704	0.0799611	0.000620294	0.23001	0.000155073
Electron (RECO)	0.157903	0.00120786	0.0794498	0.000615464	0.230138	0.000153866
All Channels (RECO)	0.154102	0.000469966	0.0775139	0.000239253	0.230622	5.98132e-05
Muon (Analytic)	0.102157	0.00120389	0.0512123	0.000606696	0.237197	0.000151674
Electron (Analytic)	0.0926506	0.00119599	0.0464251	0.000601872	0.238394	0.000150468
